,상권코드,분기,상권구분,상권명,총생활인구수,10대생활인구,20대생활인구,30대생활인구,40대생활인구,50대생활인구,60대이상생활인구,00-06생활인구,06-11생활인구,11-14생활인구,14-17생활인구,17-21생활인구,21-24생활인구,월요일생활인구,화요일생활인구,수요일생활인구,목요일생활인구,금요일생활인구,토요일생활인구,일요일생활인구,평일생활인구,주말생활인구
126,1001370,2,전통시장,역촌중앙시장,49530,7344,7186,6611,7956,7443,12989,11164,9043,6021,6713,10156,6432,6870,6946,6936,6880,6921,7510,7464,34553,14974
127,1001369,2,전통시장,갈현시장,58584,6374,9481,8853,8567,9532,15779,16493,11244,6529,6533,10003,7784,8025,8017,8067,7993,8060,9088,9334,40162,18422
128,1001368,2,전통시장,연서시장,72394,6699,11639,10059,10148,12203,21648,9217,13057,11074,11934,17819,9295,10346,10115,10164,10160,10557,10978,10076,51342,21054
129,1001367,2,전통시장,상계중앙시장,987232,135283,119795,103176,138979,174607,315391,217980,188692,125188,136884,194126,124361,138314,137512,137739,138796,138154,148114,148602,690515,296716
130,1001366,2,전통시장,상계시장,43238,6953,4174,4974,6110,6828,14199,6152,7935,7119,8117,10067,3847,5469,5388,5426,5428,5219,7901,8405,26930,16306
131,1001365,2,전통시장,공릉동도깨비시장,377267,38203,79447,53294,49381,58553,98390,103088,73967,42401,44230,63692,49890,52992,52155,53226,52269,52560,56666,57399,263202,114065
132,1001364,2,전통시장,방학동도깨비시장,229636,29944,23563,27020,34304,41144,73661,43977,41465,30367,33641,49098,31089,32563,32209,32607,32109,32357,34255,33536,161845,67791
133,1001363,2,전통시장,쌍문역골목시장,139354,14893,22400,21867,19262,21977,38954,39325,26314,14649,16148,23700,19219,19546,19451,19277,19460,19418,20877,21324,97152,42201
134,1001362,2,전통시장,백운시장,72192,8948,9166,9364,11178,10706,22831,20536,16341,7778,8003,10314,9221,10042,10004,10408,10112,9897,10596,11132,50463,21728
135,1001361,2,전통시장,신도봉시장,29042,3338,3113,3187,4015,5109,10280,5834,5509,3815,4167,6037,3680,3975,3936,4014,3982,3964,4497,4675,19871,9172
136,1001360,2,전통시장,창동골목시장,294409,32494,36263,34879,44239,54316,92220,77384,54220,32330,34236,53100,43139,41729,42040,42062,41997,41779,42659,42143,209607,84802
137,1001359,2,전통시장,창동신창시장,454115,73946,58385,60570,66229,79446,115538,136628,91549,49083,49184,69199,58471,63970,63537,64345,62872,61811,67545,70037,316535,137582
138,1001358,2,전통시장,수유북부시장,25690,4847,3048,3172,3125,4012,7487,8759,5303,2433,2220,3301,3674,3629,3592,3646,3532,3585,3733,3976,17984,7709
139,1001357,2,전통시장,장미원골목시장,488621,75082,62467,65624,69772,71856,143820,130926,99132,56455,57153,82225,62730,67456,67102,68027,66731,65484,75000,78821,334800,153821
140,1001356,2,전통시장,수유중앙시장,31709,3137,6028,4437,4863,5573,7672,9317,6240,3342,3400,5116,4296,4472,4466,4538,4396,4501,4660,4677,22373,9337
141,1001355,2,전통시장,강북종합시장,298238,28011,54139,42103,44356,49378,80252,83171,57436,31916,34655,48929,42132,43391,42541,43223,42440,42305,42388,41951,213900,84339
142,1001354,2,전통시장,우이시장,406993,68654,46485,45860,56496,62901,126598,112164,81664,46277,46604,67930,52353,56559,55484,56115,55966,55952,62479,64439,280076,126918
143,1001353,2,전통시장,수유전통시장,262769,28818,36138,30311,32659,48932,85910,49837,47669,37340,41313,55060,31549,36865,37076,36969,37046,37524,39229,38059,185480,77288
144,1001352,2,전통시장,번동북부골목시장,264426,27406,42038,37945,43741,42838,70457,61892,52903,32732,34079,48653,34167,37402,36779,36742,37054,37438,39255,39756,185415,79011
145,1001351,2,전통시장,솔샘시장,127680,19893,12032,15326,20545,20751,39132,11473,23218,22915,27564,31771,10738,17315,17103,17462,17479,17588,20704,20027,86947,40731
146,1001350,2,전통시장,숭인시장,34461,4347,5208,4746,5424,5698,9040,4740,6498,5617,6186,7798,3623,4850,4907,4986,4941,5121,5044,4614,24805,9658
147,1001349,2,전통시장,방천골목시장,610530,84888,93879,75506,93086,99657,163513,153909,112860,70264,77777,114732,80986,86346,86233,86415,86604,89275,89868,85787,434873,175655
148,1001348,2,전통시장,동북시장,41053,5537,4102,4927,6216,6780,13490,8614,7723,5541,5881,8288,5006,5856,5811,5827,5750,5861,6091,5857,29105,11948
