,상권코드,분기,상권구분,상권명,총생활인구수,10대생활인구,20대생활인구,30대생활인구,40대생활인구,50대생활인구,60대이상생활인구
945,1000550,2,골목상권,화곡로3길,387568,97511,41162,50561,56362,61255,80715
946,1000549,2,골목상권,지양로7길,437169,72384,43459,53888,66394,68772,132272
947,1000548,2,골목상권,중앙로55길,1053066,186607,122979,169837,156046,140917,276681
948,1000547,2,골목상권,중앙로51길,910699,194503,99628,134838,132800,117047,231882
949,1000546,2,골목상권,중앙로47길,1416044,249052,156178,182036,223241,222118,383419
950,1000545,2,골목상권,중앙로45길,1029444,172053,138652,137049,161332,158893,261465
951,1000544,2,골목상권,중앙로36길,360709,84144,38490,42833,66241,54225,74775
952,1000543,2,골목상권,중앙로32길,361515,87093,39717,43581,68205,58200,64718
953,1000542,2,골목상권,중앙로25길,425471,74165,42607,50802,67623,70175,120099
954,1000541,2,골목상권,은행정로7길,666745,160347,87297,89775,99954,90306,139066
955,1000540,2,골목상권,은행정로5길,153068,32290,17799,19647,27598,24287,31446
956,1000539,2,골목상권,오목로5길,572981,133357,48927,83762,98991,69015,138930
957,1000538,2,골목상권,오목로3길,901450,195864,94292,126023,145961,127287,212023
958,1000537,2,골목상권,오목로30길,887746,136344,131729,144861,130322,132017,212471
959,1000536,2,골목상권,오목로23길,956086,134838,125602,162604,147366,145456,240221
960,1000535,2,골목상권,신월로20길,687306,125260,73446,121243,112562,100136,154659
961,1000534,2,골목상권,신월로15길,1295505,274345,137849,177548,203099,187739,314928
962,1000533,2,골목상권,신목로6길,891198,229599,100678,92281,152367,139652,176621
963,1000532,2,골목상권,신목로5길,494663,153774,47691,51891,86976,70137,84193
964,1000531,2,골목상권,신목로2길,551235,132608,62628,58307,91533,88819,117341
965,1000530,2,골목상권,목동중앙서로8가길,313646,64027,38713,39349,54569,51381,65606
966,1000529,2,골목상권,목동중앙서로7길,914998,197708,122185,117137,152166,141840,183962
967,1000528,2,골목상권,목동중앙북로8길,523951,81983,66413,97280,84591,73272,120413
968,1000527,2,골목상권,목동중앙북로16길,789427,99938,128306,170018,120315,104508,166343
969,1000526,2,골목상권,목동중앙본로7길,702958,147681,94771,99568,108197,113482,139259
970,1000525,2,골목상권,목동중앙로3길,607621,187783,68247,59425,101481,91562,99122
971,1000524,2,골목상권,목동중앙로13나길,154700,35984,16938,25633,27580,20380,28188
972,1000523,2,골목상권,목동중앙남로3가길,740722,148780,89971,111625,111012,114081,165253
973,1000522,2,골목상권,목동로9길,1042353,272053,117121,130775,186996,156804,178604
974,1000521,2,골목상권,목동로19길,823276,170216,112660,115757,137197,114659,172785
